Village,Gatwick Airport,London City Airport,Heathrow Airport,Southend Airport,Stansted Airport,Luton Airport
Addington,85,105,110,125,130,155
Allington,85,105,110,125,130,155
Aylesford,85,105,110,125,130,155
Barming,85,105,115,125,130,155
Bearsted,85,105,115,125,130,155
Bidborough,85,105,110,125,130,155
Birling,85,105,110,125,130,155
Blue Bell Hill,85,105,115,125,130,155
Borough Green,85,105,110,125,130,155
Boughton Monchelsea,95,110,125,130,140,165
Boxley,85,105,110,125,130,155
Bredhurst,95,105,125,125,130,160
Brenchley,85,110,110,130,135,165
Broomfield,90,110,120,130,135,160
Burham,90,105,115,125,130,155
Capel,85,105,110,125,130,155
Chart Sutton,95,110,125,135,140,165
Collier Street,90,115,120,130,135,165
Colliers Green,100,125,125,145,150,175
Coxheath,95,115,120,135,140,165
Cranbrook,100,130,130,150,155,180
Detling,85,105,110,125,130,155
Ditton,85,105,110,125,130,155
Downswood,85,105,115,125,130,155
Dunk's Green,85,105,110,125,130,155
East Farleigh,85,105,115,125,130,155
East Malling,85,105,110,125,130,155
East Peckham,85,105,110,125,130,155
East Sutton,105,120,130,140,145,175
Eccles,85,105,115,125,130,155
Fairseat,85,105,110,125,130,155
Five Oak Green,85,110,110,130,135,160
Frittenden,105,130,135,150,155,180
Godden Green,85,105,110,125,130,155
Golden Green,85,105,110,125,130,155
Goudhurst,90,115,115,135,140,170
Hadlow,85,105,110,125,130,155
Halling,85,105,115,125,130,155
Hawkenbury,105,120,130,140,145,170
Headcorn,105,120,130,140,145,175
Hildenborough,85,105,110,125,130,155
Hodsoll Street,85,105,110,125,130,155
Hollingbourne,90,110,115,125,135,160
Hook Green,85,110,115,130,135,160
Horsmonden,85,115,115,135,140,165
Hunton,90,110,120,130,135,160
Ightham,85,105,110,125,130,155
Invicta Park,85,105,110,125,130,155
Ivy Hatch,85,105,110,125,130,155
Kilndown,90,115,120,135,140,170
Kings Hill,85,105,110,125,130,155
Kingswood,90,110,120,130,135,160
Laddingford,85,105,115,125,130,160
Lamberhurst,85,110,110,130,135,160
Langley,95,110,120,130,135,165
Larkfield,85,105,110,125,130,155
Leeds,85,105,115,125,130,155
Leigh,85,105,110,125,130,155
Leybourne,85,105,110,125,130,155
Lidsing,95,105,120,125,130,155
Linton,95,110,125,130,140,165
Loose,95,110,120,130,135,160
Maidstone,85,105,110,125,130,155
Marden,100,120,130,140,145,170
Matfield,85,105,110,125,130,155
Mereworth,85,105,110,125,130,155
Nettlestead,85,105,110,125,130,155
Offham,85,105,110,125,130,155
Otham,90,105,120,125,135,160
Paddock Wood,85,105,115,125,130,160
Pembury,85,105,110,125,130,155
Penenden Heath,85,105,110,125,130,155
Platt,85,105,110,125,130,155
Plaxtol,85,105,110,125,130,155
Quarry Wood,85,105,110,125,130,155
Roughway,85,105,110,125,130,155
Royal British Legion Village,85,105,110,125,130,155
Royal Tunbridge Wells,85,110,110,125,130,160
Ryarsh,85,105,110,125,130,155
Sandling,85,105,110,125,130,155
Seal Chart,85,105,110,125,130,155
Shipbourne,85,105,110,125,130,155
Sissinghurst,100,130,130,145,155,180
Snodland,85,105,110,125,130,155
Southborough,85,105,110,125,130,155
Stansted,85,105,110,125,130,155
Staplehurst,105,125,135,145,150,175
Sutton Valence,95,115,125,135,140,165
Teston,85,105,110,125,130,155
Thurnham,90,110,115,125,135,160
Tonbridge,85,105,110,125,130,155
Tovil,90,105,120,125,130,155
Trottiscliffe,85,105,110,125,130,155
Tudeley,85,105,110,125,130,155
Ulcombe,95,115,125,130,140,165
Underriver,85,105,110,125,130,155
Upper Halling,90,105,120,125,130,155
Walderslade,90,105,120,125,130,155
Wateringbury,85,105,110,125,130,155
Weavering,85,105,110,125,130,155
West Farleigh,85,105,115,125,130,155
West Malling,85,105,110,125,130,155
West Peckham,85,105,110,125,130,155
Whetsted,85,105,110,125,130,155
Wouldham,90,105,115,125,130,155
Wrotham,85,105,110,125,130,155
Wrotham Heath,85,105,110,125,130,155
Yalding,85,105,110,125,130,155
